ID	FREQUENCY	Danish	Dutch	English	German	Icelandic	Norwegian	Swedish	COGIDS	CONCEPTS
8	1	Ø	p	p	f	Ø	Ø	Ø	119:3	sleep (V)
9	1	Ø	œy	Ø	au	Ø	ʉː	u	7:1	belly
10	1	Ø	Ø	l	Ø	r	Ø	-	120:3	small
11	1	Ø	ə	Ø	Ø	ʏ	-	-	180:4	worm
12	1	Ø	-	-	x	Ø	Ø	Ø	98:2	not
13	1	Ø	Ø	ʧ	Ø	c	g	k	80:2	many
14	1	Ø	Ø	m	p	m	Ø	m	159:2	woman
15	1	Ø	Ø	ʊ	ai	Ø	Ø	Ø	159:1	woman
16	1	Ø	ɛɪ	uː	Ø	Ø	Ø	Ø	141:1	thou
17	1	Ø	Ø	iː	Ø	øyː	øː	Ø	73:1	leaf
18	1	Ø	ɑu	Ø	au	Ø	Ø	Ø	158:2	woman
19	1	Ø	Ø	ʌ	Ø	ɪː	eː	ʏ	80:1	many
20	1	Ø	iː	ɔ	ɪ	Ø	Ø	Ø	98:1	not
21	1	Ø	d	d	t	θ	ɾ	sː	180:2	worm
1	1	yː	iː	-	iː	-	-	ʉ	52:2	fly (V)
1	2	yˀ	iː	uː	ɔy	iː	yː	yː	28:2, 94:2	cloud / new
1	1	wˀ	m	m	m	p	Ø	mː	91:2	name
2	1	wˀ	v	v	b	v	Ø	v	75:2	liver
1	2	w	Ø	f	Ø	v	ʋ	v	73:2, 118:2	leaf / sleep (V)
2	1	w	x	Ø	k	Ø	Ø	j	87:4	mountain
1	9	v	ʋ	ʋ	v	v	ʋ	v	26:0, 70:0, 104:0, 152:0, 153:0, 154:0, 159:0, 164:1, 179:0	cloud / heavy / know (V) / road / warm / water / we / wind / woman
2	2	v	ʋ	ʋ	v	xʷ	ʋ	v	155:0, 156:0	what / white
3	1	v	Ø	Ø	Ø	Ø	g	g	9:2	belly
4	1	v	ɣ	-	ɡ	j	-	g	52:3	fly (V)
5	1	v	ʋ	ʋ	v	-	ʋ	v	160:1	woman
6	1	v	ʋ	h	v	xʷ	ʋ	v	157:0	who
7	1	v	ʋ	ʋ	v	Ø	ʋ	-	130:1	swim (V)
1	2	uˀ	oː	eɪ	oː	ʏ	ʉː	oː	13:2, 16:1	big / bird
2	1	uˀ	eː	ɛ	ɛ	ʏː	ʉː	uː	161:1	yellow
3	1	uˀ	œy	aʊ	au	uː	ʉː	uː	77:1	louse
4	1	uˀ	Ø	Ø	uː	uː	ʉː	ʉ	142:1	thou
1	2	u	ɔ	ʊ	ɔ	ʏ	ʉ	u	26:1, 54:1	cloud / full
2	1	u	œy	Ø	au	uː	ʉː	uː	116:1	skin
3	1	u	ɔ	Ø	ʊ	ʏ	Ø	u	35:1	dog
1	4	t	t	t	t͡s	tʰ	t	t	143:0, 144:0, 146:0, 148:0	tongue / tooth / tree / two
2	3	t	d	θ	d	θ	t	t	37:0, 166:0, 178:0	dry / heavy / thin
1	13	s	z	s	z	s	s	s	-41:0, -41:3, 11:0, 109:0, 110:0, 111:0, 112:0, 114:0, 118:0, 120:0, 128:0, 170:0, 176:0	big / eat (V) / salt / sand / say (V) / see (V) / seed / sit (V) / sleep (V) / small / sun / thin
2	7	s	s	s	ʃ	s	s	ɧ	28:0, 32:0, 82:3, 117:0, 119:0, 126:0, 134:0	cloud / die (V) / meat / skin / sleep (V) / star / tail
3	3	s	z	s	ʃ	s	s	s	19:0, 130:0, 164:0	black / heavy / swim (V)
4	3	s	s	s	s	s	s	s	23:5, 77:2, 92:3	breast / louse / neck
5	2	s	s	ʃ	ʃ	s	s	sː	2:1, 51:2	ashes / fish
6	2	s	s	s	ʃ	s	s	s	125:0, 127:0	stand (V) / stone
7	1	s	s	z	z	Ø	s	s	97:2	nose
8	1	s	s	-	ʃ	-	s	ʃ	101:4	person
9	1	s	s	Ø	ʃ	s	ʃ	Ø	173:0	snake
1	1	oːə	oː	ɛ	Ø	œ	uː	uː	61:1	head
1	2	oˀ	uː	ʊ	uː	ouː	uː	oː	11:2, 53:1	big / foot
2	1	oˀ	ɔ	ʌ	ɔ	ouː	uː	oː	128:1	sun
3	1	oˀ	ə	uː	ə	ouː	Ø	oː	106:4	root
4	1	oˀ	eː	uː	ai	ei	uː	oː	148:2	two
5	1	oˀ	uː	ʌ	uː	ouː	uː	oː	20:2	blood
6	1	oˀ	uː	ʊ	uː	ouː	uː	uː	56:1	good
7	1	oˀ	aː	ɜː	eː	œ	Ø	oː	40:1	earth
1	1	o	oː	ɔː	ɔ	ɔ	uː	oː	64:1	horn
2	1	o	ɔ	ɜː	ʊ	ɔ	Ø	Ø	181:1	worm
1	4	nˀ	n	n	n	n	Ø	nː	-108:2, 35:2, 59:2, 109:2	dog / hand / round / sand
2	3	nˀ	n	-	n	nː	n	nː	90:2, 117:3, 144:2	mouth / skin / tooth
3	1	nˀ	n	n	n	nː	n	nː	178:2	thin
4	1	nˀ	n	n	n	t͡n	n	n	57:3	green
5	1	nˀ	r	r	r	n̥	n	n	153:4	water
6	1	nˀ	n	n	n	n	n	n	179:2	wind
7	1	nˀ	n	n	n	ð	n	nː	78:2	man
1	12	n	n	n	n	n	n	n	21:2, 25:0, 69:1, 86:2, 91:0, 93:0, 94:0, 95:0, 97:0, 98:0, 121:3, 168:0	bone / claw / knee / moon / name / near / neck / new / night / nose / not / small
2	3	n	n	n	n	n	n	nː	24:5, 71:2, 160:3	burn (V) / know (V) / woman
3	2	n	-	-	n	t͡n	ɳ	n	126:5, 163:5	far / star
4	1	n	-	n	n	n	n	n	102:4	rain (V)
5	1	n	Ø	-	Ø	Ø	-	-	79:4	many
6	1	n	n	n	n	t͡n	n	n	100:2	one
7	1	n	z	s	z	sː	t	t	140:2	this
8	1	n	n	n	n	t͡n	ɳ	n	64:3	horn
9	1	n	n	n	n	-	n	n	127:4	stone
10	1	n	-	-	-	n	Ø	n	91:3	name
11	1	n	n	n	n	ð	n	n	101:2	person
1	1	mˀ	-	-	r	r	m	m	157:2	who
1	14	m	m	m	m	m	m	m	9:0, 78:0, 79:0, 80:0, 86:0, 90:0, 101:0, 120:1, 147:2, 152:3, 174:2, 176:1, 180:0, 181:3	belly / man / many / moon / mouth / person / small / snake / thin / tree / warm / worm
