ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	EDITID	TURCHINID	LEXSTATID	ALIGNMENT
4407	Ra’ivavae	Ra'ivavae	aust1304	98	all	ʔatoʔa	ʔatoʔa	Tamaititahio-1213-2015	291325	293			ʔ a t o ʔ a	1 7 1 7 1 7	AXBYBZ	HATUHA	6	6.H.C 6.A.V 6.T.C 6.U.V 6.H.C 6.A.V	2.0 1.5 1.75 1.3 1.75 0.8	ʔatoʔa	0	72	94	121	74	- - ʔ a t o ʔ a
4601	Tuamotuan	Tuamotu	tuam1242	98	all	katoŋa	katoŋa	POLLEX	135644	293			k a t o ŋ a	1 7 1 7 4 7	AXBYBZ	KATUNA	10	10.K.C 10.A.V 10.T.C 10.U.V 10.N.C 10.A.V	2.0 1.5 1.75 1.3 1.75 0.8	katoŋa	0	71	94	118	74	- - k a t o ŋ a
739	Maori	Maori	maor1246	98	all	katoa	katoa	Biggs-85-2005	67915	293			k a t o a	1 7 1 7 7	AXBYZ	KATUA	3	3.K.C 3.A.V 3.T.C 3.U.V 3.A.V	2.0 1.5 1.75 1.3 0.8	katoa	0	71	94	118	74	- - k a t o - a
5116	Rurutuan	Rurutuan	aust1304	98	all	paaʔaatoʔa	paaʔaatoʔa	Meyer-128-2005	118895	293		atoʔa	p aː ʔ aː t o ʔ a	1 7 1 7 1 7 1 7	AXBYBYBZ	PAHATUHA	7	7.P.C 7.A.V 7.H.C 7.A.V 7.T.C 7.U.V 7.H.C 7.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	paːʔaːtoʔa	0	72	98	122	74	p aː ʔ aː t o ʔ a
1612	Rapanui	Rapanui (Easter Island)	rapa1244	98	all	tahi	tahi	POLLEX	130632	410			t a h i	1 7 3 7	AXBZ	TAHI	5	5.T.C 5.A.V 5.H.C 5.I.V	2.0 1.5 1.75 0.8	tahi	0	72	96	120	76	t a h i
5627	Hawaiian	Hawaiian	hawa1245	98	all	apau	apau	71458	67882	1075			a p a u	7 1 7 7	XBYZ	APAY	1	1.A.V 1.P.C 1.A.V 1.Y.V	1.5 1.75 1.3 0.8	apau	0	69	92	116	72	a p a u
1865	Mangareva	Mangareva	mang1401	98	all	kouroa	kouroa	POLLEX	321443	469			k o u r o a	1 7 7 5 7 7	AXYBYZ	KUYRUA	2	2.K.C 2.U.V 2.Y.V 2.R.C 2.U.V 2.A.V	2.0 1.5 1.3 1.75 1.3 0.8	kouroa	0	70	93	117	73	k o u r o a
1184	Tahitian	Tahitian (Modern)	tahi1242	98	all	ato'a	ato'a	Clark-173-2005	68003	293			a t o ʔ a	7 1 7 1 7	XBYBZ	ATUHA	9	9.A.V 9.T.C 9.U.V 9.H.C 9.A.V	1.5 1.75 1.3 1.75 0.8	atoʔa	0	72	94	121	74	- - - a t o ʔ a
3090	Sikaiana	Sikaiana	sika1261	98	all	katoa	katoa	POLLEX	68073	293			k a t o a	1 7 1 7 7	AXBYZ	KATUA	8	8.K.C 8.A.V 8.T.C 8.U.V 8.A.V	2.0 1.5 1.75 1.3 0.8	katoa	0	71	94	118	74	- - k a t o - a
3311	North_Marquesan	Marquesan	nort2845	98	all	tiatohu	tiatohu	POLLEX	67868	715			t i a t o h u	1 7 7 1 7 3 7	AXYBYBZ	TIATUHY	4	4.T.C 4.I.V 4.A.V 4.T.C 4.U.V 4.H.C 4.Y.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	tiatohu	0	72	95	119	74	t i - a t o h u
4406	Ra’ivavae	Ra'ivavae	aust1304	1577	and	e	e	Tamaititahio-1213-2015	291326	1313			e	7	X	E	6	6.E.V	1.5	e	0	74	100	124	78	- e
738	Maori	Maori	maor1246	1577	and	me	me	Biggs-85-2005	82495	520			m e	4 7	AX	ME	3	3.M.C 3.E.V	2.0 1.5	me	0	73	99	125	77	- m e
737	Maori	Maori	maor1246	1577	and	hoki	hoki	Biggs-85-2005	82496	1276			h o k i	3 7 1 7	AXBZ	HUKI	3	3.H.C 3.U.V 3.K.C 3.I.V	2.0 1.5 1.75 0.8	hoki	0	79	108	132	86	h o k i
5115	Rurutuan	Rurutuan	aust1304	1577	and	ʔee	ʔee	Meyer-128-2005	68315	1313			ʔ eː	1 7	AX	HE	7	7.H.C 7.E.V	2.0 1.5	ʔeː	0	79	105	124	78	ʔ eː
1609	Rapanui	Rapanui (Easter Island)	rapa1244	1577	and	pe	pe	POLLEX	167985	603			p e	1 7	AX	PE	5	5.P.C 5.E.V	2.0 1.5	pe	0	77	103	127	78	p e
1610	Rapanui	Rapanui (Easter Island)	rapa1244	1577	and	ma	ma	POLLEX	167984	520		me	m a	4 7	AX	MA	5	5.M.C 5.A.V	2.0 1.5	ma	0	73	106	125	77	- m a
1611	Rapanui	Rapanui (Easter Island)	rapa1244	1577	and	e	e	POLLEX	167982	1313			e	7	X	E	5	5.E.V	1.5	e	0	74	100	124	78	- e
5626	Hawaiian	Hawaiian	hawa1245	1577	and	a me	a me	71458	82488	520		a	a m e	7 4 7	XBZ	AME	1	1.A.V 1.M.C 1.E.V	1.5 1.75 0.8	ame	0	73	99	123	77	a m e
1608	Rapanui	Rapanui (Easter Island)	rapa1244	1577	and	piri	piri	POLLEX	167986	409			p i r i	1 7 5 7	AXBZ	PIRI	5	5.P.C 5.I.V 5.R.C 5.I.V	2.0 1.5 1.75 0.8	piri	0	77	111	135	89	p i r i
1864	Mangareva	Mangareva	mang1401	1577	and	e	e	POLLEX	321442	1313			e	7	X	E	2	2.E.V	1.5	e	0	74	100	124	78	- e
1183	Tahitian	Tahitian (Modern)	tahi1242	1577	and	'ee	'ee	Clark-173-2005	68360	1313			ʔ eː	1 7	AX	HE	9	9.H.C 9.E.V	2.0 1.5	ʔeː	0	79	105	124	78	ʔ eː
