# Wordlist

# DATA
ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	TURCHINID	TID	EDITID	SCAID	INFOMAPID	ALIGNMENT
4399	Ra’ivavae	Ra'ivavae	aust1304	1500	Four	maha	maha	Tamaititahio-1213-2015	291333	3			m a h a	4 7 3 7	AXBZ	MAHA	6	6.M.C 6.A.V 6.H.C 6.A.V	2.0 1.5 1.75 0.8	maha	0	22	22	13	12	9	m a h a
4596	Tuamotuan	Tuamotu	tuam1242	1500	Four	haa	haa	POLLEX	89925	3		faa	h aː	3 7	AX	HA	10	10.H.C 10.A.V	2.0 1.5	haː	0	17	17	12	12	8	h aː
729	Maori	Maori	maor1246	1500	Four	whaa	faː	Biggs-85-2005	71128	3			f aː	3 7	AX	BA	3	3.B.C 3.A.V	2.0 1.5	faː	0	19	19	12	14	8	f aː
5105	Rurutuan	Rurutuan	aust1304	1500	Four	ʔa	ʔa	Meyer-128-2005	83040	3		maʔa	ʔ a	1 7	AX	HA	7	7.H.C 7.A.V	2.0 1.5	ʔa	0	17	17	13	12	8	ʔ a
1174	Tahitian	Tahitian (Modern)	tahi1242	1500	Four	maha	maha	Clark-173-2005	71216	3			m a h a	4 7 3 7	AXBZ	MAHA	9	9.M.C 9.A.V 9.H.C 9.A.V	2.0 1.5 1.75 0.8	maha	0	22	22	13	12	9	m a h a
5618	Hawaiian	Hawaiian	hawa1245	1500	Four	hā	hā	71458	71095	3			h aː	3 7	AX	HA	1	1.H.C 1.A.V	2.0 1.5	haː	0	17	17	12	12	8	h aː
1599	Rapanui	Rapanui (Easter Island)	rapa1244	1500	Four	ha	ha	POLLEX	133545	3		haa	h a	3 7	AX	HA	5	5.H.C 5.A.V	2.0 1.5	ha	0	17	17	13	12	8	h a
1857	Mangareva	Mangareva	mang1401	1500	Four	'a	'a	POLLEX	321435	3		à	ʔ a	1 7	AX	HA	2	2.H.C 2.A.V	2.0 1.5	ʔa	0	17	17	13	12	8	ʔ a
3080	Sikaiana	Sikaiana	sika1261	1500	Four	hā	hā	POLLEX	145960	3			h aː	3 7	AX	HA	8	8.H.C 8.A.V	2.0 1.5	haː	0	17	17	12	12	8	h aː
3301	North_Marquesan	Marquesan	nort2845	1500	Four	faa	faa	POLLEX	71081	3			f aː	3 7	AX	BA	4	4.B.C 4.A.V	2.0 1.5	faː	0	19	19	12	14	8	f aː
#
4421	Ra’ivavae	Ra'ivavae	aust1304	1209	I	vau	vau	Tamaititahio-1213-2015	291317	4			v a u	3 7 7	AXZ	BAY	6	6.B.C 6.A.V 6.Y.V	2.0 1.5 0.8	vau	0	28	28	14	15	10	v a u
4609	Tuamotuan	Tuamotu	tuam1242	1209	I	-ku	-ku	POLLEX	123681	1460			k u	1 7	AX	KY	10	10.K.C 10.Y.V	2.0 1.5	ku	0	32	32	14	24	12	k u
4610	Tuamotuan	Tuamotu	tuam1242	1209	I	au	au	POLLEX	123680	4			a u	7 7	XZ	AY	10	10.A.V 10.Y.V	1.5 0.8	au	0	23	23	14	15	10	- a u
