ID	FREQUENCY	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	Tuolo	Zhoucheng	COGIDS	CONCEPTS
1	12	m	m	m	m	m	m	m	m	m	85:0, 141:0, 154:0, 164:0, 262:0, 280:0, 294:0, 337:0, 379:0, 420:0, 475:0, 580:0	cloud / feather / full / hair / moon / name / neck / not / root / sleep / tail / who
1	7	l	ɲ	ɲ	ɲ	ɲ	Ø	ɲ	ɲ	ɲ	264:0, 281:0, 354:0, 449:0, 538:0, 607:0, 608:0	moon / name / person / sun / warm / woman
2	4	l	l	Ø	Ø	l	l	l	Ø	l	17:0, 160:0, 228:0, 506:0	ashes / green / lie / this
1	1	kʰ	tsʰ	tsʰ	ʈʂʰ	tɕʰ	kʰ	tɕʰ	ʈʂʰ	kʰ	425:0	snake
2	1	kʰ	qʰ	qʰ	qʰ	qʰ	kʰ	kʰ	qʰ	kʰ	104:0	dog
3	1	kʰ	qʰ	qʰ	q	k	kʰ	k	qʰ	kʰ	188:0	knee
1	10	k	q	q	q	q	k	k	q	k	79:0, 109:0, 178:0, 193:0, 200:0, 235:0, 279:0, 292:0, 395:0, 476:0	claw (nail) / dry / horn / knee / liver / mouth / neck / see / tail
2	4	k	k	k	k	k	k	k	k	k	97:0, 153:0, 408:0, 531:0	come / foot / sit / two
3	1	k	q	q	ɢ	q	k	k	Ø	k	254:0	meat
4	1	k	q	q	q	q	k	k	k	k	53:0	bone
5	1	k	k	k	ɡ	k	k	k	k	k	94:0	cold
6	1	k	-	x	x	x	k	Ø	tɕ	k	315:0	night
1	20	j	j	j	j	j	j	j	j	j	15:0, 33:1, 73:0, 96:0, 110:0, 131:0, 158:1, 274:1, 280:1, 332:1, 351:0, 353:0, 410:2, 427:1, 459:2, 536:0, 537:0, 604:2, 606:0, 614:0	all / bark / burn / come / ear / eat / good / moon / name / nose / one / person / skin / stand / swim / walk(go) / warm / wind / woman
2	2	j	Ø	Ø	Ø	Ø	-	j	ɥ	-	126:1, 603:1	ear / wind
3	2	j	Ø	Ø	Ø	Ø	j	Ø	j	-	384:1, 509:1	salt / this
4	1	j	Ø	Ø	Ø	Ø	jː	Ø	jː	Ø	448:0	sun
5	1	j	-	-	Ø	Ø	-	-	-	Ø	581:1	who
6	1	j	Ø	Ø	Ø	Ø	-	w	j	-	54:1	bone
