# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	PARTIAL	PARTIAL_IDS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGIDS	ALIGNMENT	STRUCTURE	PATTERNS
17	Ega	ashes	xwa₅₅lo₂₁ɕu₅₅	x w a ⁵⁵ + l o ²¹ + ɕ u ⁵⁵	59	abc	16 20 17	778 462 997 1189 554 887 1152 204 868 1189	646	nort2724	3 6 7 8 9 5 7 8 9 3 7 8	ACXT_AXT_AXT	GWA5_LU3_SY5	2	2.G.C 2.W.C 2.A.V 2.5.T 2._._ 2.L.C 2.U.V 2.3.T 2._._ 2.S.C 2.Y.V 2.5.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	16 17 18	x w a ⁵⁵ ◦ l o ²¹ ◦ ɕ u ⁵⁵	c c v t + c v t + c v t	58-4/x 29-17/w 0/n 0/n + 141-4/l 0/n 0/n + 110-1/Ø 0/n 0/n
#
18	Gongxing	bark	d͡ʐi₁₂bi₂₁	ɖʐ i ¹² + b i ²¹	109	ab	21 22	698 1076 1167 257 1076 1152	1204	nort2724	2 7 8 9 1 7 8	AXT_AXT	CI2_PI3	4	4.C.C 4.I.V 4.2.T 4._._ 4.P.C 4.I.V 4.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	28 29	ɖʐ i ¹² ◦ b i ²¹	c v t + c v t	65-4/ʈʂ 0/n 0/n + 67-6/p 0/n 0/n
19	Mazhelong	bark	ɕen₅₅pe₂₁	ɕ e n ⁵⁵ + p e ²¹	131	db	23 22	204 1089 107 1189 291 1089 1152	1204	sout2730	3 7 4 8 9 1 7 8	AXLT_AXT	SEN5_PE3	7	7.S.C 7.E.V 7.N.c 7.5.T 7._._ 7.P.C 7.E.V 7.3.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	39 29	ɕ e n ⁵⁵ ◦ p e ²¹	c v c t + c v t	0/n 0/n 0/n 0/n + 67-6/p 0/n 0/n
20	Dashi	bark	t͡ʂɯ₂₁pe₂₁	ʈʂ ɯ ²¹ + p e ²¹	109	ab	21 22	699 944 1152 291 1089 1152	1204	cent2004	2 7 8 9 1 7 8	AXT_AXT	CI3_PE3	1	1.C.C 1.I.V 1.3.T 1._._ 1.P.C 1.E.V 1.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	28 29	ʈʂ ɯ ²¹ ◦ p e ²¹	c v t + c v t	65-4/ʈʂ 0/n 0/n + 67-6/p 0/n 0/n
21	Zhoucheng	bark	ʦɯ₃₁pe₂₁	ts ɯ ³¹ + p e ²¹	109	ab	21 22	15 944 1162 291 1089 1152	1204	sout2730	2 7 8 9 1 7 8	AXT_AXT	CI3_PE3	9	9.C.C 9.I.V 9.3.T 9._._ 9.P.C 9.E.V 9.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	28 29	ts ɯ ³¹ ◦ p e ²¹	c v t + c v t	65-4/ʈʂ 0/n 0/n + 67-6/p 0/n 0/n
22	Jinxing	bark	ʦɯ₃₁pe₂₁	ts ɯ ³¹ + p e ²¹	109	ab	21 22	15 944 1162 291 1089 1152	1204	cent2004	2 7 8 9 1 7 8	AXT_AXT	CI3_PE3	6	6.C.C 6.I.V 6.3.T 6._._ 6.P.C 6.E.V 6.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	28 29	ts ɯ ³¹ ◦ p e ²¹	c v t + c v t	65-4/ʈʂ 0/n 0/n + 67-6/p 0/n 0/n
23	Tuolo	bark	djɯ₂₁bi₃₅	d j ɯ ²¹ + b i ³⁵	109	ab	21 22	145 570 944 1152 257 1076 1165	1204	nort2724	1 6 7 8 9 1 7 8	ACXT_AXT	TJI3_PI2	8	8.T.C 8.J.C 8.I.V 8.3.T 8._._ 8.P.C 8.I.V 8.2.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	0	33 29	d j ɯ ²¹ ◦ b i ³⁵	c c v t + c v t	65-4/ʈʂ 27-20/j 0/n 0/n + 67-6/p 0/n 0/n
24	Enqi	bark	djɯ₄₃pi₂₁	d j ɯ ⁴³ + p i ²¹	109	ab	21 22	145 570 944 1176 291 1076 1152	1204	nort2724	1 6 7 8 9 1 7 8	ACXT_AXT	TJI3_PI3	3	3.T.C 3.J.C 3.I.V 3.3.T 3._._ 3.P.C 3.I.V 3.3.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	0	33 29	d j ɯ ⁴³ ◦ p i ²¹	c c v t + c v t	65-4/ʈʂ 27-20/j 0/n 0/n + 67-6/p 0/n 0/n
25	Ega	bark	ʥi₄₂ʨyj₂₁qa₅₅	dʑ i ⁴² + tɕ y j ²¹ + q a ⁵⁵	110	abc	21 22 24	197 1076 1175 200 1047 570 1152 757 997 1189	1204	nort2724	2 7 8 9 2 7 6 8 9 1 7 8	AXT_AXLT_AXT	CI3_CYJ3_KA5	2	2.C.C 2.I.V 2.3.T 2._._ 2.C.C 2.Y.V 2.J.c 2.3.T 2._._ 2.K.C 2.A.V 2.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	28 31 32	dʑ i ⁴² ◦ tɕ y j ²¹ ◦ q a ⁵⁵	c v t + c v c t + c v t	65-4/ʈʂ 0/n 0/n + 0/n 0/n 0/n 0/n + 0/n 0/n 0/n
#
26	Gongxing	belly	ʐi₂₁	ʐ i ²¹	147	b	25	706 1076 1152	1251	nort2724	3 7 8	AXT	SI3	4	4.S.C 4.I.V 4.3.T	1.6 3.0 1.0	0	41	ʐ i ²¹	c v t	117-1/Ø 0/n 0/n
27	Jinman	belly	ʐɚ₄₂	ʐ ə˞ ⁴²	147	b	25	706 1026 1175	1251	nort2724	3 7 8	AXT	SE3	5	5.S.C 5.E.V 5.3.T	1.6 3.0 1.0	0	41	ʐ ə˞ ⁴²	c v t	117-1/Ø 0/n 0/n
28	Mazhelong	belly	pɯ₄₄	p ɯ ⁴⁴	160	a	26	291 944 1178	1251	sout2730	1 7 8	AXT	PI5	7	7.P.C 7.I.V 7.5.T	1.6 3.0 1.0	0	40	p ɯ ⁴⁴	c v t	151-2/f 0/n 0/n
29	Dashi	belly	fo₄₄	f o ⁴⁴	160	a	26	452 887 1178	1251	cent2004	3 7 8	AXT	BU5	1	1.B.C 1.U.V 1.5.T	1.6 3.0 1.0	0	40	f o ⁴⁴	c v t	151-2/f 0/n 0/n
30	Zhoucheng	belly	fɤ₄₄	f ɤ ⁴⁴	160	a	26	452 947 1178	1251	sout2730	3 7 8	AXT	BE5	9	9.B.C 9.E.V 9.5.T	1.6 3.0 1.0	0	40	f ɤ ⁴⁴	c v t	151-2/f 0/n 0/n
31	Jinxing	belly	fɤ₄₄	f ɤ ⁴⁴	160	a	26	452 947 1178	1251	cent2004	3 7 8	AXT	BE5	6	6.B.C 6.E.V 6.5.T	1.6 3.0 1.0	0	40	f ɤ ⁴⁴	c v t	151-2/f 0/n 0/n
32	Tuolo	belly	fɚ₄₂	f ə˞ ⁴²	160	a	26	452 1026 1175	1251	nort2724	3 7 8	AXT	BE3	8	8.B.C 8.E.V 8.3.T	1.6 3.0 1.0	0	40	f ə˞ ⁴²	c v t	151-2/f 0/n 0/n
33	Enqi	belly	fo₂₄	f o ²⁴	160	a	26	452 887 1156	1251	nort2724	3 7 8	AXT	BU2	3	3.B.C 3.U.V 3.2.T	1.6 3.0 1.0	0	40	f o ²⁴	c v t	151-2/f 0/n 0/n
34	Ega	belly	xu₄₄qʰo₂₂	x u ⁴⁴ + qʰ o ²²	171	cd	27 28	778 868 1178 759 887 1150	1251	nort2724	3 7 8 9 1 7 8	AXT_AXT	GY5_KU1	2	2.G.C 2.Y.V 2.5.T 2._._ 2.K.C 2.U.V 2.1.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	41 42	x u ⁴⁴ ◦ qʰ o ²²	c v t + c v t	117-1/Ø 0/n 0/n + 0/n 0/n 0/n
#
35	Gongxing	big	da₄₂	d a ⁴²	191	a	29	145 997 1175	1202	nort2724	1 7 8	AXT	TA3	4	4.T.C 4.A.V 4.3.T	1.6 3.0 1.0	0	43	d a - ⁴²	c v t	35-2/t 0/n 101-3/w 0/n
36	Jinman	big	do₄₂	d o ⁴²	191	a	29	145 887 1175	1202	nort2724	1 7 8	AXT	TU3	5	5.T.C 5.U.V 5.3.T	1.6 3.0 1.0	0	43	d o - ⁴²	c v t	35-2/t 0/n 101-3/w 0/n
